 VALUE1  VALUE2
  837.0   837.0
  862.4   862.4
  887.8   887.8
  913.2   913.2
  938.6   938.6
  964.0   964.0
  989.4   989.4
 1014.8  1014.8
 1040.2  1040.2
 1065.6  1065.6
 1091.0  1091.0
 1116.4  1116.4
 1141.8  1141.8
 1167.2  1167.2
 1243.4  1243.4
 1167.2  1167.2
 1141.8  1141.8
 1116.4  1116.4
 1091.0  1091.0
 1065.6  1065.6
 1040.2  1040.2
 1014.8  1014.8
  989.4   989.4
  964.0   964.0
  938.6   938.6
  913.2   913.2
  887.8   887.8
  862.4   862.4
  837.0   837.0
  964.0   964.0
 1040.2  1040.2
 1141.8  1141.8
 1218.0  1218.0
 1218.0  1218.0
 1141.8  1141.8
 1040.2  1040.2
  964.0   964.0
  913.2   913.2
  964.0   964.0
 1040.2  1040.2
 1141.8  1141.8
 1218.0  1218.0
 1218.0  1218.0
 1141.8  1141.8
 1040.2  1040.2
  964.0   964.0
  913.2   913.2
  964.0   964.0
 1040.2  1040.2
 1141.8  1141.8
 1218.0  1218.0
 1218.0  1218.0
 1141.8  1141.8
 1040.2  1040.2
  964.0   964.0
  964.0   964.0
 1040.2  1040.2
 1141.8  1141.8
 1218.0  1218.0
 1218.0  1218.0
 1141.8  1141.8
 1040.2  1040.2
  964.0   964.0
 1298.7  1298.7
 1323.7  1323.7
 1348.7  1348.7
 1373.7  1373.7
 1398.7  1398.7
 1423.7  1423.7
 1448.7  1448.7
 1473.7  1473.7
 1498.7  1498.7
 1523.7  1523.7
 1548.7  1548.7
 1573.7  1573.7
 1598.7  1598.7
 1623.7  1623.7
 1648.7  1648.7
 1673.7  1673.7
 1698.7  1698.7
 1723.7  1723.7
 1748.7  1748.7
 1773.7  1773.7
 1798.7  1798.7
 1823.7  1823.7
 1848.7  1848.7
 1873.7  1873.7
 1898.7  1898.7
 1923.7  1923.7
 1948.7  1948.7
 1973.7  1973.7
 1998.7  1998.7
 2023.7  2023.7
 2048.7  2048.7
 2073.7  2073.7
 2098.7  2098.7
 2123.7  2123.7
 2148.7  2148.7
 2173.7  2173.7
 2198.7  2198.7
 2248.7  2248.7
 1298.7  1298.7
 1348.7  1348.7
 1398.7  1398.7
 1448.7  1448.7
 1498.7  1498.7
 1548.7  1548.7
 1598.7  1598.7
 1648.7  1648.7
 1698.7  1698.7
 1748.7  1748.7
 1798.7  1798.7
 1848.7  1848.7
 1898.7  1898.7
 1948.7  1948.7
 1998.7  1998.7
 2048.7  2048.7
 2098.7  2098.7
 2148.7  2148.7
 2198.7  2198.7
 2248.7  2248.7
 2298.7  2298.7
 2348.7  2348.7
 2398.7  2398.7
 2448.7  2448.7
 2498.7  2498.7
 2548.7  2548.7
 2598.7  2598.7
 2648.7  2648.7
 2698.7  2698.7
 2748.7  2748.7
 2798.7  2798.7
 2848.7  2848.7
 2898.7  2898.7
 2948.7  2948.7
 2998.7  2998.7
 3048.7  3048.7
 3098.7  3098.7
 3148.7  3148.7
 3198.7  3198.7
 3248.7  3248.7
 3298.7  3298.7
 3348.7  3348.7
 3398.7  3398.7
 3448.7  3448.7
 3423.7  3423.7
 3373.7  3373.7
 3323.7  3323.7
 3273.7  3273.7
 3223.7  3223.7
 3173.7  3173.7
 3123.7  3123.7
 3073.7  3073.7
 3023.7  3023.7
 2973.7  2973.7
 2923.7  2923.7
 2873.7  2873.7
 2823.7  2823.7
 2773.7  2773.7
 2723.7  2723.7
 2673.7  2673.7
 2623.7  2623.7
 2573.7  2573.7
 2448.7  2448.7
 2398.7  2398.7
 2348.7  2348.7
 2298.7  2298.7
 2173.7  2173.7
 2123.7  2123.7
 2073.7  2073.7
 2023.7  2023.7
 1973.7  1973.7
 1923.7  1923.7
 1873.7  1873.7
 1823.7  1823.7
 1773.7  1773.7
 1723.7  1723.7
 1673.7  1673.7
 1623.7  1623.7
 1573.7  1573.7
 1523.7  1523.7
 1473.7  1473.7
 1423.7  1423.7
 1373.7  1373.7
 1323.7  1323.7
 2298.7  2298.7
 2348.7  2348.7
 2398.7  2398.7
 2448.7  2448.7
 2678.5  2678.5
 2202.2  2202.2
 1522.8  1522.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1827.6  1827.6
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1522.8  1522.8
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1751.4  1751.4
 1827.6  1827.6
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2869.0  2869.0
 2818.2  2818.2
 2767.4  2767.4
 2716.6  2716.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1827.6  1827.6
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1751.4  1751.4
 1827.6  1827.6
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1827.6  1827.6
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1751.4  1751.4
 1827.6  1827.6
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2437.2  2437.2
 2513.4  2513.4
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1827.6  1827.6
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 2437.2  2437.2
 2513.4  2513.4
 2742.0  2742.0
 2767.4  2767.4
 2843.6  2843.6
 2869.0  2869.0
 2869.0  2869.0
 2818.2  2818.2
 2767.4  2767.4
 2716.6  2716.6
 1853.0  1853.0
 1751.4  1751.4
 1853.0  1853.0
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1751.4  1751.4
 1853.0  1853.0
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2538.8  2538.8
 2462.6  2462.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1853.0  1853.0
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1751.4  1751.4
 1853.0  1853.0
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2869.0  2869.0
 2843.6  2843.6
 2767.4  2767.4
 2742.0  2742.0
 2538.8  2538.8
 2462.6  2462.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1853.0  1853.0
 1751.4  1751.4
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2538.8  2538.8
 2462.6  2462.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2538.8  2538.8
 2462.6  2462.6
 2183.2  2183.2
 2107.0  2107.0
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3961.2  3961.2
 3885.0  3885.0
 3834.2  3834.2
 3758.0  3758.0
 3707.2  3707.2
 3631.0  3631.0
 3580.2  3580.2
 3504.0  3504.0
 3453.2  3453.2
 3377.0  3377.0
 3326.2  3326.2
 3250.0  3250.0
 3199.2  3199.2
 3123.0  3123.0
 3072.2  3072.2
 2996.0  2996.0
 2894.4  2894.4
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3961.2  3961.2
 3885.0  3885.0
 3834.2  3834.2
 3758.0  3758.0
 3707.2  3707.2
 3631.0  3631.0
 3580.2  3580.2
 3504.0  3504.0
 3453.2  3453.2
 3377.0  3377.0
 3326.2  3326.2
 3250.0  3250.0
 3199.2  3199.2
 3123.0  3123.0
 3072.2  3072.2
 2996.0  2996.0
 2894.4  2894.4
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 2957.9  2957.9
 3961.2  3961.2
 3885.0  3885.0
 3834.2  3834.2
 3758.0  3758.0
 3707.2  3707.2
 3631.0  3631.0
 3580.2  3580.2
 3504.0  3504.0
 3453.2  3453.2
 3377.0  3377.0
 3326.2  3326.2
 3250.0  3250.0
 3199.2  3199.2
 3123.0  3123.0
 3072.2  3072.2
 2996.0  2996.0
 2818.2  2818.2
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2361.0  2361.0
 2284.8  2284.8
 2183.2  2183.2
 2107.0  2107.0
 2005.4  2005.4
 1929.2  1929.2
 1649.8  1649.8
 1573.6  1573.6
 1472.0  1472.0
 1395.8  1395.8
 1395.8  1395.8
 1472.0  1472.0
 1573.6  1573.6
 1649.8  1649.8
 1929.2  1929.2
 2005.4  2005.4
 2107.0  2107.0
 2183.2  2183.2
 2284.8  2284.8
 2361.0  2361.0
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 2894.4  2894.4
 2869.0  2869.0
 2957.9  2957.9
 2996.0  2996.0
 3072.2  3072.2
 3123.0  3123.0
 3199.2  3199.2
 3250.0  3250.0
 3326.2  3326.2
 3377.0  3377.0
 3453.2  3453.2
 3504.0  3504.0
 3580.2  3580.2
 3631.0  3631.0
 3707.2  3707.2
 3758.0  3758.0
 3834.2  3834.2
 3885.0  3885.0
 3961.2  3961.2
 2894.4  2894.4
 2818.2  2818.2
 3072.2  3072.2
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3758.0  3758.0
 3148.4  3148.4
 2996.0  2996.0
 2919.8  2919.8
 2843.6  2843.6
 2716.6  2716.6
 2640.4  2640.4
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1764.1  1764.1
 1687.9  1687.9
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1687.9  1687.9
 1764.1  1764.1
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 2843.6  2843.6
 2919.8  2919.8
 3148.4  3148.4
 2996.0  2996.0
 2919.8  2919.8
 2843.6  2843.6
 2716.6  2716.6
 2640.4  2640.4
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1764.1  1764.1
 1687.9  1687.9
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1687.9  1687.9
 1764.1  1764.1
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 3758.0  3758.0
 3072.2  3072.2
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1764.1  1764.1
 1687.9  1687.9
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1687.9  1687.9
 1764.1  1764.1
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3072.2  3072.2
 3123.0  3123.0
 3758.0  3758.0
 3681.8  3681.8
 3631.0  3631.0
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1764.1  1764.1
 1687.9  1687.9
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3758.0  3758.0
 3123.0  3123.0
 3072.2  3072.2
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3656.4  3656.4
 3681.8  3681.8
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1751.4  1751.4
 1675.2  1675.2
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1675.2  1675.2
 1751.4  1751.4
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3758.0  3758.0
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1751.4  1751.4
 1675.2  1675.2
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1675.2  1675.2
 1751.4  1751.4
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1751.4  1751.4
 1675.2  1675.2
 1548.2  1548.2
 1395.8  1395.8
 1319.6  1319.6
 1395.8  1395.8
 1548.2  1548.2
 1675.2  1675.2
 1751.4  1751.4
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2640.4  2640.4
 2716.6  2716.6
 3758.0  3758.0
 2716.6  2716.6
 2640.4  2640.4
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1751.4  1751.4
 1675.2  1675.2
 1548.2  1548.2
 1395.8  1395.8
 1319.6  1319.6
 1395.8  1395.8
 1548.2  1548.2
 1675.2  1675.2
 1751.4  1751.4
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2640.4  2640.4
 2716.6  2716.6
 2640.4  2640.4
 2716.6  2716.6
 3758.0  3758.0
 2716.6  2716.6
 2640.4  2640.4
 2640.4  2640.4
 2716.6  2716.6
 2640.4  2640.4
 2716.6  2716.6
 3631.0  3631.0
 3681.8  3681.8
 2716.6  2716.6
 2640.4  2640.4
 3758.0  3758.0
 2869.0  2869.0
 2716.6  2716.6
 2640.4  2640.4
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2640.4  2640.4
 2716.6  2716.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1243.4  1243.4
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 3656.4  3656.4
 3681.8  3681.8
 2869.0  2869.0
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3453.2  3453.2
 3351.6  3351.6
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 2869.0  2869.0
 2818.2  2818.2
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1319.6  1319.6
 1294.2  1294.2
 1268.8  1268.8
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 2716.6  2716.6
 2640.4  2640.4
 2538.8  2538.8
 2462.6  2462.6
 2284.8  2284.8
 2132.4  2132.4
 2030.8  2030.8
 1878.4  1878.4
 1802.2  1802.2
 1649.8  1649.8
 1548.2  1548.2
 1395.8  1395.8
 1395.8  1395.8
 1548.2  1548.2
 1649.8  1649.8
 1802.2  1802.2
 1878.4  1878.4
 2030.8  2030.8
 2132.4  2132.4
 2284.8  2284.8
 2462.6  2462.6
 2538.8  2538.8
 2640.4  2640.4
 2716.6  2716.6
 3351.6  3351.6
 3453.2  3453.2
 2869.0  2869.0
 2818.2  2818.2
 3554.8  3554.8
 3580.2  3580.2
 3605.6  3605.6
 3631.0  3631.0
 3656.4  3656.4
 3681.8  3681.8
 3707.2  3707.2
 3732.6  3732.6
 3758.0  3758.0
 3783.4  3783.4
 3808.8  3808.8
 3834.2  3834.2
 3859.6  3859.6
 3453.2  3453.2
 3402.4  3402.4
 3326.2  3326.2
 3275.4  3275.4
 1522.8  1522.8
 1472.0  1472.0
 3554.8  3554.8
 3580.2  3580.2
 3605.6  3605.6
 3631.0  3631.0
 3656.4  3656.4
 3681.8  3681.8
 3707.2  3707.2
 3732.6  3732.6
 3758.0  3758.0
 3783.4  3783.4
 3808.8  3808.8
 3834.2  3834.2
 3859.6  3859.6
 2498.7  2498.7
 2548.7  2548.7
 2573.7  2573.7
 2598.7  2598.7
 2623.7  2623.7
 2648.7  2648.7
 2673.7  2673.7
 2698.7  2698.7
 2723.7  2723.7
 2748.7  2748.7
 2773.7  2773.7
 2798.7  2798.7
 2823.7  2823.7
 2848.7  2848.7
 2873.7  2873.7
 2898.7  2898.7
 2923.7  2923.7
 2948.7  2948.7
 2973.7  2973.7
 2998.7  2998.7
 3023.7  3023.7
 3048.7  3048.7
 3073.7  3073.7
 3098.7  3098.7
 3123.7  3123.7
 3148.7  3148.7
 3173.7  3173.7
 3198.7  3198.7
 3223.7  3223.7
 3248.7  3248.7
 3273.7  3273.7
 3298.7  3298.7
 3323.7  3323.7
 3348.7  3348.7
 3373.7  3373.7
 3398.7  3398.7
 3423.7  3423.7
 3448.7  3448.7
 3554.8  3554.8
 3580.2  3580.2
 3605.6  3605.6
 3631.0  3631.0
 3656.4  3656.4
 3681.8  3681.8
 3707.2  3707.2
 3732.6  3732.6
 3758.0  3758.0
 3783.4  3783.4
 3808.8  3808.8
 3834.2  3834.2
 3859.6  3859.6
 3859.6  3859.6
 3834.2  3834.2
 3808.8  3808.8
 3783.4  3783.4
 3758.0  3758.0
 3732.6  3732.6
 3707.2  3707.2
 3681.8  3681.8
 3656.4  3656.4
 3631.0  3631.0
 3605.6  3605.6
 3580.2  3580.2
 3554.8  3554.8
